Ano,Posição,Time,UF,Pontos,Partidas Jogadas,Vitórias,Empates,Derrotas,Gols Pró,Gols Contra,Saldo de Gols,Cartões Amarelos,Cartões Vermelhos,Aproveitamento,Últimas Jogadas
2022,15,Coritiba,PR,42,38,12,6,20,39,60,-21,113,12,36,VED
2022,16,Cuiabá,MT,41,38,10,11,17,31,42,-11,82,11,35,EDV
2022,17,Ceará,CE,37,38,7,16,15,34,41,-7,127,10,32,DDV
2022,18,Atlético,GO,36,38,8,12,18,39,57,-18,104,9,31,EEE
2022,19,Avaí,SC,35,38,9,8,21,34,60,-26,102,4,30,EVV
2022,20,Juventude,RS,22,38,3,13,22,29,69,-40,112,8,19,DED
2023,1,Palmeiras,SP,70,38,20,10,8,64,33,31,101,7,61,VVE
2023,2,Grêmio,RS,68,38,21,5,12,63,56,7,98,6,59,VVV
2023,3,Atlético,MG,66,38,19,9,10,52,32,20,114,7,57,VVD
2023,4,Flamengo,RJ,66,38,19,9,10,56,42,14,89,5,57,DVD
2023,5,Botafogo,RJ,64,38,18,10,10,58,37,21,96,8,56,EED
2023,6,Bragantino,SP,62,38,17,11,10,49,35,14,110,7,54,DVD
2023,7,Fluminense,RJ,56,38,16,8,14,51,47,4,130,12,49,VDD
2023,8,Atlético,PR,56,38,14,14,10,51,43,8,112,4,49,EVD
2023,9,Internacional,RS,55,38,15,10,13,46,45,1,114,6,48,VVV
2023,10,Fortaleza,CE,54,38,15,9,14,45,44,1,100,2,47,VVV
2023,11,São Paulo,SP,53,38,14,11,13,40,38,2,107,7,46,VDV
2023,12,Cuiabá,MT,51,38,14,9,15,40,39,1,102,4,44,DDV
2023,13,Corinthians,SP,50,38,12,14,12,47,48,-1,95,3,43,VDV
2023,14,Cruzeiro,MG,47,38,11,14,13,35,32,3,101,6,41,EEE
2023,15,Vasco da Gama,RJ,45,38,12,9,17,41,51,-10,103,8,39,DDV
2023,16,Bahia,BA,44,38,12,8,18,50,53,-3,96,8,38,DDV
2023,17,Santos,SP,43,38,11,10,17,39,64,-25,103,9,37,DDD
2023,18,Goiás,GO,38,38,9,11,18,36,53,-17,108,8,33,DDV
2023,19,Coritiba,PR,30,38,8,6,24,41,73,-32,68,6,26,EDD
2023,20,América,MG,24,38,5,9,24,42,81,-39,86,11,21,DVD
